,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
0,mataura,64,1553274605,89,-46.19,168.86,288.71,1.21,NZ
2,hilo,90,1553274861,88,19.71,-155.08,292.15,2.1,US
3,bluff,48,1553274910,86,-23.58,149.07,294.613,2.76,AU
4,chuy,64,1553274911,92,-33.69,-53.46,292.913,2.31,UY
5,rikitea,64,1553274912,98,-23.12,-134.97,299.263,7.66,PF
6,punta arenas,75,1553274802,50,-53.16,-70.91,287.15,5.7,CL
7,tiksi,76,1553274916,75,71.64,128.87,258.063,2.46,RU
9,barrow,0,1553274918,52,-38.31,-60.23,295.713,6.76,AR
10,meulaboh,32,1553274919,100,4.14,96.13,300.413,1.66,ID
11,thompson,75,1553270400,63,55.74,-97.86,271.15,3.6,CA
12,aleksandrov gay,0,1553274922,91,50.14,48.57,271.713,2.11,RU
13,sao joao da barra,90,1553270400,78,-21.64,-41.05,298.15,5.1,BR
14,hermanus,20,1553274080,75,-34.42,19.24,296.48,3.13,ZA
15,vaini,0,1553274926,70,15.34,74.49,293.613,1.31,IN
16,natal,40,1553270400,55,-5.81,-35.21,306.15,4.6,BR
17,portland,40,1553274635,70,45.52,-122.67,285.37,2.1,US
18,atuona,88,1553274931,100,-9.8,-139.03,300.713,7.01,PF
19,takoradi,32,1553274932,95,4.89,-1.75,302.063,4.76,GH
20,chokurdakh,0,1553274934,33,70.62,147.9,242.713,1.66,RU
21,albany,90,1553274903,95,42.65,-73.75,278.71,4.1,US
22,neryungri,0,1553274936,41,56.66,124.71,246.563,1.26,RU
23,ahipara,20,1553274938,100,-35.17,173.16,287.763,1.26,NZ
24,sangar,76,1553274940,65,63.92,127.47,256.763,5.71,RU
25,georgetown,75,1553270400,66,6.8,-58.16,303.15,7.2,GY
26,mitha tiwana,88,1553274943,61,32.24,72.11,290.863,2.61,PK
27,maniitsoq,0,1553274944,100,65.42,-52.9,255.163,3.46,GL
28,upernavik,36,1553274946,100,72.79,-56.15,249.613,2.71,GL
29,lompoc,20,1553274936,82,34.64,-120.46,288.71,2.6,US
30,khatanga,0,1553274949,53,71.98,102.47,245.113,1.56,RU
31,buraydah,0,1553270400,38,26.33,43.97,298.15,3.1,SA
32,dikson,36,1553274952,100,73.51,80.55,258.363,7.46,RU
33,esperance,75,1553274949,52,10.24,-61.45,305.15,6.2,TT
34,samarai,76,1553274955,100,-10.62,150.67,300.813,4.96,PG
36,bathsheba,75,1553274000,66,13.22,-59.52,302.15,10.3,BB
37,talnakh,0,1553274959,54,69.49,88.39,252.513,1.16,RU
38,durham,20,1553274932,76,54.78,-1.58,285.37,6.2,GB
39,jamestown,68,1553274899,85,-33.21,138.6,289.213,1.76,AU
40,kysyl-syr,76,1553274965,86,63.9,122.77,263.463,2.56,RU
41,hobart,75,1553274855,77,-42.88,147.33,290.15,5.1,AU
42,ponta do sol,92,1553274968,84,-20.63,-46,295.413,5.21,BR
43,tasiilaq,75,1553273400,62,65.61,-37.64,266.15,1.5,GL
44,newberry,90,1553273700,68,46.35,-85.51,271.15,8.2,US
45,busselton,32,1553274916,52,-33.64,115.35,285.93,8.41,AU
46,kapaa,40,1553274099,73,22.08,-159.32,295.15,6.2,US
49,port alfred,8,1553274909,93,-33.59,26.89,293.71,0.45,ZA
50,port keats,36,1553274978,79,-14.25,129.55,303.313,5.91,AU
51,ushuaia,75,1553274000,93,-54.81,-68.31,281.15,2.6,AR
52,jalingo,0,1553274981,28,10.3,10.93,307.113,1.96,NG
53,porto novo,75,1553270400,73,-23.68,-45.44,295.15,4.6,BR
54,linjiang,0,1553274984,70,41.81,126.91,262.563,2.11,CN
55,grenville,90,1553274957,93,45.62,-74.6,275.93,4.1,CA
56,backa topola,0,1553271300,25,45.82,19.63,290.15,3.1,RS
57,lodingen,75,1553274966,60,68.41,16,277.59,8.7,NO
59,qaanaaq,0,1553274991,74,77.48,-69.36,241.163,5.16,GL
60,iqaluit,20,1553274777,61,63.75,-68.52,244.26,8.7,CA
61,codrington,88,1553274746,94,-28.95,153.24,295.15,2.1,AU
63,provideniya,88,1553274995,100,64.42,-173.23,262.363,9.86,RU
64,naze,56,1553274997,71,5.43,7.07,302.413,2.76,NG
65,geraldton,20,1553270400,52,49.72,-86.95,266.15,5.1,CA
66,goure,0,1553275000,34,13.98,10.27,306.213,1.21,NE
68,san patricio,0,1553275002,65,-26.98,-56.83,298.613,1.61,PY
70,banepa,20,1553273400,48,27.63,85.52,289.15,2.1,NP
71,nuuk,40,1553269800,61,64.17,-51.74,262.15,5.1,GL
72,bereda,0,1553274926,72,43.27,-7.54,288.15,3.1,ES
73,castro,75,1553274000,72,-42.48,-73.76,288.15,6.7,CL
74,nanakuli,75,1553274872,73,21.39,-158.15,295.15,3.1,US
75,banda aceh,8,1553275011,94,5.56,95.32,296.313,0.81,ID
76,los llanos de aridane,40,1553274906,59,28.66,-17.92,292.15,9.3,ES
77,balkhash,0,1553275015,84,46.84,74.98,268.913,1.66,KZ
78,torbay,75,1553274992,59,47.66,-52.73,277.04,9.3,CA
79,hammerfest,75,1553273400,74,70.66,23.68,274.15,9.8,NO
81,longyearbyen,40,1553273400,79,78.22,15.63,270.15,4.6,NO
82,axim,20,1553275021,93,4.87,-2.24,302.513,6.26,GH
83,cape town,0,1553274782,60,-33.93,18.42,296.48,6.7,ZA
84,hirara,88,1553275024,100,24.8,125.28,294.313,9.41,JP
86,puerto ayora,0,1553274997,70,-0.74,-90.35,302.15,3.1,EC
87,loreto,20,1553275030,91,-23.27,-57.32,301.763,1.96,PY
88,spencer,1,1553275011,93,43.14,-95.14,281.15,3.1,US
89,phan thiet,0,1553274753,100,10.93,108.1,298.963,2.66,VN
90,kodiak,1,1553275024,9,39.95,-94.76,287.59,2.1,US
91,plettenberg bay,80,1553275036,92,-34.05,23.37,294.213,7.61,ZA
92,yellowknife,20,1553274836,96,62.45,-114.38,273.71,6.2,CA
93,boa vista,40,1553274000,34,2.82,-60.67,308.15,4.6,BR
95,constantine,75,1553272200,71,36.36,6.61,284.15,1,DZ
96,husavik,0,1553274925,62,50.56,-96.99,276.48,1.34,CA
97,clyde river,75,1553270400,68,70.47,-68.59,247.15,2.6,CA
98,cayenne,75,1553274000,62,4.94,-52.33,304.15,6.2,GF
99,alberdi,0,1553274000,51,-26.19,-58.14,300.15,3.1,AR
100,aitape,20,1553275050,100,-3.15,142.36,298.913,3.16,PG
101,nome,1,1553275016,33,30.04,-94.42,298.15,2.1,US
102,sokolo,92,1553275054,24,14.74,-6.12,305.513,2.36,ML
105,murray bridge,8,1553274997,71,-35.12,139.28,295.37,3.58,AU
106,alyangula,75,1553270400,66,-13.85,136.42,303.15,4.1,AU
107,cedar rapids,1,1553274741,42,41.98,-91.67,283.71,4.1,US
108,half moon bay,90,1553274797,87,37.46,-122.43,285.37,3.1,US
109,khandyga,0,1553275062,51,62.65,135.58,245.313,1.31,RU
111,frunzivka,36,1553275063,62,47.33,29.75,284.213,7.36,UA
112,nizhniy ufaley,0,1553275065,78,55.91,59.99,268.563,1.06,RU
113,reinosa,0,1553274976,51,43,-4.14,289.26,1.5,ES
114,margate,75,1553275041,77,-43.03,147.26,290.15,5.1,AU
115,vanavara,76,1553275069,81,60.35,102.28,270.813,4.01,RU
117,toora-khem,0,1553275071,65,52.47,96.11,259.463,1.01,RU
118,vostok,8,1553275072,72,46.45,135.83,261.613,1.46,RU
119,port hardy,75,1553270400,93,50.7,-127.42,281.15,1,CA
120,gat,0,1553272200,60,14.69,-16.54,297.15,6.2,SN
121,caravelas,44,1553275077,100,-17.73,-39.27,300.813,7.11,BR
122,devonport,8,1553275002,82,-41.18,146.36,290.37,4.47,AU
124,bethel,75,1553273760,86,60.79,-161.76,276.15,4.6,US
125,butaritari,92,1553275078,100,3.07,172.79,298.213,1.51,KI
126,east london,20,1553274000,88,-33.02,27.91,294.15,5.1,ZA
127,mushie,48,1553275085,71,-3.02,16.92,301.213,0.71,CD
128,anadyr,0,1553274802,75,64.73,177.51,245.37,10,RU
129,capreol,75,1553275027,62,46.71,-80.92,268.71,10.3,CA
130,avarua,64,1553274000,94,-21.21,-159.78,299.15,2.1,CK
131,faanui,88,1553275092,100,-16.48,-151.75,301.713,4.11,PF
132,saskylakh,76,1553275075,84,71.97,114.09,253.863,8.76,RU
133,carnarvon,36,1553275094,27,-30.97,22.13,292.063,1.26,ZA
134,hasaki,75,1553274141,66,35.73,140.83,282.15,0.5,JP
135,matagami,12,1553275097,78,9.67,8.4,297.013,1.21,NG
136,lebu,0,1553275099,35,8.96,38.73,289.213,2.76,ET
137,new norfolk,75,1553275094,77,-42.78,147.06,290.15,5.1,AU
138,sambava,36,1553275102,100,-14.27,50.17,301.913,7.01,MG
139,baisha,12,1553275104,82,19.23,109.45,294.763,0.71,CN
140,praia da vitoria,40,1553274954,64,38.73,-27.07,293.15,5.56,PT
141,newport,75,1553274792,76,51.59,-3,285.37,3.1,GB
142,bandarbeyla,48,1553275109,100,9.49,50.81,299.013,3.61,SO
143,proletarskiy,75,1553274000,86,50.79,35.77,276.15,7,RU
144,mangan,56,1553275112,91,27.5,88.54,268.063,0.31,IN
146,arraial do cabo,75,1553270400,39,-22.97,-42.02,300.15,6.7,BR
147,hervey bay,0,1553274909,94,-25.3,152.85,295.93,3.1,AU
148,saint-philippe,90,1553275112,93,45.36,-73.48,275.93,5.1,CA
